State, FIPS,Cases_Per100000,Cases_Per100000_LCI,Cases_Per100000_UCI,Average Annual Count,Recent Trend,Trend_in_5_year,Trend_LCI,Trend_UCI,Counties,SEER,NPCR
Oklahoma,40055.0,494.2,425.6,571.4,38.0,stable,5.2,-8.7,21.3,Greer County,6.0,10.0
Illinois,17091.0,494.2,476.9,511.9,646.0,stable,5.1,-1.7,12.4,Kankakee County,6.0,10.0
Arkansas,5001.0,494.1,454.3,536.7,121.0,stable,2.6,-2.2,7.5,Arkansas County,6.0,10.0
Mississippi,28029.0,494.1,460.7,529.4,173.0,stable,-7.6,-15.0,0.4,Copiah County,6.0,10.0
Virginia,51570.0,494.0,453.6,537.3,119.0,stable,3.4,-9.1,17.6,Colonial Heights City,6.0,10.0
North Carolina,37103.0,494.0,441.5,551.7,71.0,stable,0.4,-11.0,13.3,Jones County,6.0,10.0
South Dakota,46053.0,494.0,414.1,586.4,33.0,stable,-14.3,-30.6,5.8,Gregory County,6.0,10.0
New York,36069.0,493.9,477.2,511.0,720.0,stable,-0.2,-0.7,0.3,Ontario County,7.0,8.0
Georgia,13055.0,493.9,458.9,530.9,155.0,rising,1.1,0.4,1.9,Chattooga County,7.0,8.0
Iowa,19079.0,493.7,450.5,540.4,105.0,stable,-0.1,-0.6,0.4,Hamilton County,7.0,8.0
Kentucky,21039.0,493.7,419.6,578.1,34.0,stable,0.7,-1.3,2.8,Carlisle County,7.0,8.0
Indiana,18075.0,493.5,455.5,534.1,130.0,stable,-0.9,-4.4,2.8,Jay County,6.0,10.0
Pennsylvania,42003.0,493.5,488.5,498.6,7980.0,stable,-0.9,-2.3,0.5,Allegheny County,6.0,10.0
Georgia,13035.0,493.4,456.2,533.0,136.0,stable,0.4,-0.8,1.6,Butts County,7.0,8.0
Iowa,19031.0,493.4,452.9,536.7,119.0,stable,-0.8,-2.0,0.4,Cedar County,7.0,8.0
Missouri,29139.0,493.3,445.2,545.6,83.0,stable,4.5,-9.1,20.1,Montgomery County,6.0,10.0
Delaware,10005.0,493.3,482.0,504.8,1684.0,stable,-2.0,-5.8,2.0,Sussex County,6.0,10.0
Virginia,51147.0,493.3,453.6,535.7,123.0,stable,-0.3,-15.0,17.0,Prince Edward County,6.0,10.0
Indiana,18133.0,493.3,464.0,524.1,219.0,stable,2.7,-7.2,13.6,Putnam County,6.0,10.0
Missouri,29141.0,493.2,456.5,532.2,155.0,rising,5.1,1.9,8.4,Morgan County,6.0,10.0
Missouri,29207.0,493.1,462.1,525.8,199.0,stable,-4.0,-9.7,2.1,Stoddard County,6.0,10.0
Kentucky,21177.0,493.1,462.5,525.2,204.0,stable,-0.5,-1.2,0.2,Muhlenberg County,7.0,8.0
Pennsylvania,42121.0,492.9,469.8,516.9,381.0,stable,-1.6,-3.9,0.8,Venango County,6.0,10.0
Ohio,39091.0,492.9,466.8,520.2,282.0,stable,1.1,-1.7,3.8,Logan County,6.0,10.0
New York,36051.0,492.9,470.6,516.0,394.0,stable,-0.7,-1.4,0.0,Livingston County,7.0,8.0
Louisiana,22087.0,492.9,461.5,525.8,199.0,stable,-0.3,-1.0,0.4,St. Bernard Parish,7.0,8.0
Tennessee,47083.0,492.8,433.9,558.0,55.0,stable,1.3,-9.2,13.1,Houston County,6.0,10.0
Georgia,13111.0,492.8,459.7,527.9,200.0,stable,1.1,0.0,2.2,Fannin County,7.0,8.0
South Dakota,46027.0,492.7,436.3,554.4,58.0,stable,8.1,-0.3,17.2,Clay County,6.0,10.0
Mississippi,28109.0,492.7,468.9,517.5,344.0,stable,-1.8,-6.1,2.7,Pearl River County,6.0,10.0
North Carolina,37071.0,492.6,480.2,505.3,1239.0,stable,-0.9,-4.6,3.0,Gaston County,6.0,10.0
Pennsylvania,42005.0,492.6,472.3,513.7,483.0,stable,1.0,-4.3,6.6,Armstrong County,6.0,10.0
Louisiana,22093.0,492.6,453.7,534.0,127.0,stable,0.6,-0.5,1.7,St. James Parish,7.0,8.0
South Dakota,46095.0,492.5,364.7,650.8,11.0,stable,0.8,-44.7,84.0,Mellette County,6.0,10.0
New Jersey,34001.0,492.3,481.6,503.3,1673.0,falling,-10.2,-15.8,-4.3,Atlantic County,7.0,8.0
Louisiana,22039.0,492.3,460.7,525.6,187.0,stable,-0.2,-1.0,0.6,Evangeline Parish,7.0,8.0
Louisiana,22003.0,492.1,456.0,530.3,141.0,stable,0.6,-0.5,1.8,Allen Parish,7.0,8.0
South Dakota,46045.0,492.0,410.8,586.2,29.0,stable,-0.1,-18.5,22.4,Edmunds County,6.0,10.0
South Dakota,46117.0,492.0,396.7,605.1,20.0,stable,-0.8,-20.2,23.4,Stanley County,6.0,10.0
Missouri,29053.0,491.9,449.4,537.6,105.0,stable,1.7,-6.3,10.4,Cooper County,6.0,10.0
Illinois,17197.0,491.9,484.3,499.7,3335.0,stable,0.4,-1.7,2.6,Will County,6.0,10.0
Florida,12029.0,491.9,451.8,535.0,123.0,stable,-1.6,-11.2,9.0,Dixie County,6.0,10.0
Tennessee,47049.0,491.8,451.7,534.7,123.0,stable,-6.9,-15.1,2.2,Fentress County,6.0,10.0
Maryland,24019.0,491.7,462.1,522.8,225.0,stable,-1.8,-6.9,3.5,Dorchester County,6.0,10.0
Pennsylvania,42001.0,491.7,474.6,509.2,670.0,stable,0.0,-7.4,8.0,Adams County,6.0,10.0
Kentucky,21145.0,491.5,470.2,513.7,427.0,falling,-0.6,-1.1,-0.1,McCracken County,7.0,8.0
Massachusetts,25007.0,491.4,450.9,534.9,123.0,falling,-1.2,-2.2,-0.2,Dukes County,7.0,8.0
Illinois,17049.0,491.3,461.2,522.9,209.0,stable,-2.4,-9.7,5.6,Effingham County,6.0,10.0
Georgia,13223.0,491.3,473.5,509.5,645.0,stable,-0.4,-1.1,0.2,Paulding County,7.0,8.0
Oklahoma,40035.0,491.2,447.5,538.3,98.0,stable,3.4,-6.3,14.2,Craig County,6.0,10.0
Arkansas,5019.0,491.1,452.5,532.3,127.0,stable,1.7,-2.5,6.0,Clark County,6.0,10.0
Louisiana,22117.0,491.1,465.3,518.1,288.0,stable,-0.9,-1.7,0.0,Washington Parish,7.0,8.0
Mississippi,28053.0,491.1,430.7,557.8,50.0,stable,2.0,-4.9,9.5,Humphreys County,6.0,10.0
Virginia,51127.0,491.1,450.3,534.7,123.0,stable,-3.4,-17.0,12.5,New Kent County,6.0,10.0
Tennessee,47139.0,491.0,450.0,535.1,114.0,stable,-2.6,-17.1,14.4,Polk County,6.0,10.0
Ohio,39087.0,491.0,468.9,514.0,388.0,stable,5.6,-7.7,20.9,Lawrence County,6.0,10.0
Ohio,39159.0,490.9,464.1,519.0,264.0,stable,-1.9,-13.8,11.7,Union County,6.0,10.0
Kentucky,21101.0,490.9,464.9,518.0,283.0,stable,-0.5,-1.1,0.1,Henderson County,7.0,8.0
Maine,23017.0,490.9,468.9,513.7,410.0,stable,-0.4,-6.3,5.8,Oxford County,6.0,10.0
Ohio,39145.0,490.7,470.8,511.4,478.0,stable,-1.7,-3.7,0.3,Scioto County,6.0,10.0
North Carolina,37001.0,490.7,476.5,505.2,936.0,stable,2.0,-3.7,8.0,Alamance County,6.0,10.0
Kentucky,21055.0,490.6,435.7,551.2,62.0,stable,-0.2,-1.7,1.2,Crittenden County,7.0,8.0
Texas,48225.0,490.5,456.2,527.0,164.0,rising,4.6,2.9,6.2,Houston County,6.0,10.0
Oklahoma,40073.0,490.5,445.3,539.2,90.0,stable,6.5,-5.5,20.0,Kingfisher County,6.0,10.0
Kentucky,21067.0,490.4,479.3,501.8,1528.0,falling,-0.8,-1.2,-0.5,Fayette County,7.0,8.0
Tennessee,47073.0,490.4,467.7,513.9,379.0,stable,0.1,-3.1,3.4,Hawkins County,6.0,10.0
Louisiana,22073.0,490.4,475.3,505.8,825.0,stable,-0.2,-0.7,0.3,Ouachita Parish,7.0,8.0
Tennessee,47117.0,490.2,458.2,523.9,185.0,stable,2.3,-5.0,10.2,Marshall County,6.0,10.0
Missouri,29033.0,490.2,435.6,550.3,63.0,stable,-0.2,-13.1,14.7,Carroll County,6.0,10.0
Mississippi,28155.0,490.1,435.8,549.8,62.0,stable,-4.2,-8.8,0.5,Webster County,6.0,10.0
Tennessee,47155.0,490.0,472.2,508.4,612.0,stable,1.3,-5.1,8.1,Sevier County,6.0,10.0
Pennsylvania,42025.0,490.0,469.2,511.6,451.0,falling,-2.7,-5.2,-0.1,Carbon County,6.0,10.0
Georgia,13173.0,490.0,430.6,555.3,52.0,stable,-0.9,-2.8,0.9,Lanier County,7.0,8.0
Mississippi,28095.0,490.0,461.3,520.1,231.0,stable,6.8,-0.6,14.8,Monroe County,6.0,10.0
Florida,12105.0,489.9,483.1,496.8,4199.0,stable,-1.6,-6.4,3.5,Polk County,6.0,10.0
Louisiana,22053.0,489.9,457.9,523.6,182.0,stable,-0.4,-1.3,0.5,Jefferson Davis Parish,7.0,8.0
Mississippi,28031.0,489.8,449.6,532.9,114.0,stable,1.3,-5.4,8.5,Covington County,6.0,10.0
Texas,48277.0,489.8,465.3,515.3,317.0,falling,-5.8,-11.2,-0.1,Lamar County,6.0,10.0
Georgia,13139.0,489.7,475.9,503.8,981.0,stable,-0.2,-0.7,0.3,Hall County,7.0,8.0
Washington,53045.0,489.7,468.7,511.5,454.0,falling,-0.6,-0.9,-0.3,Mason County,7.0,8.0
Wisconsin,55059.0,489.7,475.0,504.7,882.0,stable,1.6,-3.5,6.9,Kenosha County,6.0,10.0
North Carolina,37049.0,489.6,472.0,507.8,621.0,stable,0.3,-3.0,3.7,Craven County,6.0,10.0
Illinois,17157.0,489.6,460.0,520.8,214.0,stable,1.7,-4.5,8.3,Randolph County,6.0,10.0
New York,36077.0,489.6,467.2,512.9,402.0,stable,-0.3,-0.9,0.3,Otsego County,7.0,8.0
Indiana,18167.0,489.6,471.8,508.0,598.0,stable,-0.9,-2.6,0.9,Vigo County,6.0,10.0
Vermont,50009.0,489.5,421.5,566.5,46.0,stable,-0.9,-8.5,7.4,Essex County,6.0,10.0
South Dakota,46047.0,489.5,427.7,559.0,58.0,stable,-4.2,-31.6,34.1,Fall River County,6.0,10.0
West Virginia,54009.0,489.5,454.8,526.3,167.0,stable,3.9,-6.6,15.6,Brooke County,6.0,10.0
Pennsylvania,42073.0,489.4,471.6,507.9,627.0,stable,1.8,-2.0,5.8,Lawrence County,6.0,10.0
Arkansas,5037.0,489.4,447.4,534.5,105.0,stable,2.5,-2.7,7.9,Cross County,6.0,10.0
Nebraska,31121.0,489.4,430.4,555.0,54.0,stable,1.9,-14.2,21.0,Merrick County,6.0,10.0
Tennessee,47061.0,489.4,443.7,538.8,91.0,stable,-0.6,-9.0,8.6,Grundy County,6.0,10.0
Washington,53031.0,489.2,461.1,519.1,301.0,falling,-0.5,-0.8,-0.1,Jefferson County,7.0,8.0
Delaware,10003.0,489.1,481.2,497.1,3049.0,stable,-0.3,-3.0,2.4,New Castle County,6.0,10.0
Michigan,26035.0,489.0,458.9,520.6,226.0,stable,-0.5,-9.2,9.1,Clare County,6.0,10.0
Georgia,13319.0,489.0,434.0,549.5,61.0,stable,0.2,-1.3,1.9,Wilkinson County,7.0,8.0
West Virginia,54039.0,488.9,476.5,501.7,1260.0,stable,-1.7,-5.2,1.9,Kanawha County,6.0,10.0
Georgia,13285.0,488.9,466.4,512.2,371.0,stable,-0.1,-0.8,0.5,Troup County,7.0,8.0
Arkansas,5139.0,488.9,461.4,517.7,251.0,stable,-0.5,-4.0,3.2,Union County,6.0,10.0
Kentucky,21033.0,488.9,441.7,540.0,86.0,stable,-0.6,-1.2,0.1,Caldwell County,7.0,8.0
New Jersey,34027.0,488.8,480.8,496.9,3003.0,falling,-6.6,-11.6,-1.4,Morris County,7.0,8.0
Montana,30111.0,488.7,474.1,503.6,902.0,stable,5.2,0.0,10.6,Yellowstone County,6.0,10.0
North Carolina,37111.0,488.6,463.5,514.9,301.0,stable,1.9,-4.8,9.1,McDowell County,6.0,10.0
Georgia,13027.0,488.6,445.8,534.6,103.0,stable,0.6,-0.8,2.1,Brooks County,7.0,8.0
South Dakota,46005.0,488.5,446.7,533.3,110.0,stable,1.7,-7.3,11.6,Beadle County,6.0,10.0
Georgia,13199.0,488.5,451.8,527.5,143.0,rising,1.3,0.1,2.4,Meriwether County,7.0,8.0
Michigan,26119.0,488.5,438.4,544.2,89.0,stable,1.8,-10.8,16.0,Montmorency County,6.0,10.0
Missouri,29071.0,488.5,470.9,506.6,612.0,stable,-0.4,-3.9,3.2,Franklin County,6.0,10.0
West Virginia,54033.0,488.3,467.8,509.5,452.0,stable,-0.5,-10.2,10.3,Harrison County,6.0,10.0
West Virginia,54029.0,488.2,458.1,520.0,217.0,stable,-2.2,-8.5,4.5,Hancock County,6.0,10.0
Florida,12023.0,488.2,467.2,509.9,431.0,stable,-0.2,-2.8,2.5,Columbia County,6.0,10.0
Mississippi,28079.0,488.2,450.2,528.6,127.0,falling,-7.3,-11.1,-3.4,Leake County,6.0,10.0
Pennsylvania,42133.0,488.1,479.7,496.7,2652.0,stable,-0.1,-2.4,2.2,York County,6.0,10.0
Virginia,51109.0,488.1,458.9,518.9,227.0,stable,1.0,-6.1,8.7,Louisa County,6.0,10.0
Georgia,13305.0,488.1,454.8,523.3,165.0,stable,-0.8,-2.0,0.5,Wayne County,7.0,8.0
Louisiana,22057.0,488.1,469.5,507.2,536.0,rising,1.1,0.4,1.7,LaFourche Parish,7.0,8.0
Alabama,1131.0,488.0,435.7,545.2,68.0,stable,1.6,-4.9,8.6,Wilcox County,6.0,10.0
Ohio,39079.0,487.9,456.8,520.7,192.0,stable,4.3,-6.7,16.7,Jackson County,6.0,10.0
North Carolina,37067.0,487.9,478.3,497.6,2050.0,stable,-0.3,-2.5,2.0,Forsyth County,6.0,10.0
Illinois,17109.0,487.8,454.4,523.2,174.0,rising,4.7,1.4,8.1,McDonough County,6.0,10.0
Georgia,13215.0,487.7,473.9,501.8,978.0,stable,1.4,-1.2,4.0,Muscogee County,7.0,8.0
Iowa,19135.0,487.6,429.7,551.9,54.0,stable,0.4,-0.1,1.0,Monroe County,7.0,8.0
Illinois,17189.0,487.6,443.8,535.0,96.0,stable,0.0,-14.1,16.5,Washington County,6.0,10.0
Pennsylvania,42123.0,487.6,461.7,514.8,293.0,stable,-2.4,-9.9,5.7,Warren County,6.0,10.0
Georgia,13137.0,487.6,461.0,515.3,264.0,stable,0.3,-0.4,0.9,Habersham County,7.0,8.0
Colorado,8061.0,487.5,345.6,672.1,10.0,stable,-0.3,-43.8,77.0,Kiowa County,6.0,10.0
Wisconsin,55021.0,487.5,464.3,511.6,349.0,stable,-1.6,-6.0,3.1,Columbia County,6.0,10.0
Rhode Island,44009.0,487.5,471.9,503.5,827.0,stable,-0.8,-4.5,3.1,Washington County,6.0,10.0
Illinois,17119.0,487.3,476.4,498.4,1593.0,stable,-0.8,-3.5,2.0,Madison County,6.0,10.0
New York,36093.0,487.2,472.9,501.9,935.0,stable,-0.3,-0.8,0.3,Schenectady County,7.0,8.0
Tennessee,47051.0,487.1,460.5,515.0,269.0,stable,-1.0,-8.7,7.4,Franklin County,6.0,10.0
Alabama,1075.0,487.1,443.9,533.8,100.0,stable,5.4,-4.7,16.5,Lamar County,6.0,10.0
Maryland,24039.0,487.1,451.8,524.5,148.0,stable,2.1,-2.7,7.2,Somerset County,6.0,10.0
Iowa,19013.0,487.1,470.9,503.7,729.0,stable,-0.3,-0.5,0.0,Black Hawk County,7.0,8.0
Idaho,16055.0,487.1,472.5,502.0,894.0,falling,-0.5,-1.0,-0.1,Kootenai County,7.0,8.0
Illinois,17079.0,487.1,433.7,545.8,65.0,stable,-7.8,-23.3,10.7,Jasper County,6.0,10.0
Missouri,29177.0,487.0,451.0,525.3,143.0,stable,-3.6,-11.4,5.0,Ray County,6.0,10.0
New York,36115.0,487.0,465.2,509.5,400.0,stable,-0.5,-1.2,0.3,Washington County,7.0,8.0
North Carolina,37083.0,486.9,463.7,511.1,352.0,stable,1.5,-0.9,4.0,Halifax County,6.0,10.0
Louisiana,22007.0,486.9,450.1,526.1,137.0,stable,-0.7,-1.7,0.4,Assumption Parish,7.0,8.0
Wisconsin,55017.0,486.8,464.7,509.7,385.0,stable,2.1,-1.3,5.6,Chippewa County,6.0,10.0
Texas,48191.0,486.8,393.2,597.6,22.0,stable,-6.3,-35.0,35.1,Hall County,6.0,10.0
Wisconsin,55105.0,486.8,472.7,501.2,934.0,stable,1.6,-3.6,7.1,Rock County,6.0,10.0
Connecticut,9015.0,486.8,470.1,503.9,684.0,stable,-0.2,-0.5,0.1,Windham County,7.0,8.0
Maryland,24510.0,486.7,479.0,494.5,3219.0,falling,-1.0,-1.8,-0.1,Baltimore City,6.0,10.0
North Carolina,37181.0,486.7,460.3,514.3,270.0,stable,-0.5,-7.6,7.0,Vance County,6.0,10.0
Iowa,19029.0,486.7,442.6,534.5,99.0,stable,0.3,-0.3,0.9,Cass County,7.0,8.0
Texas,48183.0,486.6,469.9,503.7,665.0,stable,-0.4,-2.1,1.5,Gregg County,6.0,10.0
Iowa,19093.0,486.6,426.3,553.9,52.0,stable,0.6,-0.2,1.3,Ida County,7.0,8.0
Georgia,13005.0,486.5,432.7,545.2,62.0,stable,0.2,-1.7,2.0,Bacon County,7.0,8.0
Arkansas,5103.0,486.4,453.0,521.8,169.0,stable,4.0,-5.2,14.1,Ouachita County,6.0,10.0
Tennessee,47185.0,486.4,453.6,521.0,175.0,stable,-2.2,-16.9,15.3,White County,6.0,10.0
Kentucky,21143.0,486.4,433.4,545.3,67.0,stable,0.5,-1.0,2.1,Lyon County,7.0,8.0
Ohio,39123.0,486.3,461.0,512.8,313.0,stable,0.4,-2.8,3.7,Ottawa County,6.0,10.0
Nebraska,31097.0,486.2,414.8,567.6,35.0,rising,8.4,1.3,16.1,Johnson County,6.0,10.0
New York,36021.0,486.2,465.2,508.0,449.0,stable,-0.4,-0.9,0.1,Columbia County,7.0,8.0
South Carolina,45085.0,486.1,468.5,504.2,597.0,stable,-1.9,-8.8,5.5,Sumter County,6.0,10.0
Alabama,1039.0,486.0,458.4,515.0,251.0,stable,0.4,-8.7,10.4,Covington County,6.0,10.0
Maryland,24013.0,486.0,472.2,500.2,994.0,stable,-1.3,-4.1,1.6,Carroll County,6.0,10.0
Pennsylvania,42111.0,486.0,467.0,505.5,540.0,stable,-3.0,-6.1,0.2,Somerset County,6.0,10.0
Maine,23031.0,485.9,473.9,498.3,1328.0,stable,0.2,-5.6,6.3,York County,6.0,10.0
South Dakota,46125.0,485.9,428.0,550.0,56.0,stable,-0.9,-16.8,18.2,Turner County,6.0,10.0
Alabama,1051.0,485.8,465.1,507.2,436.0,rising,4.3,2.5,6.1,Elmore County,6.0,10.0
North Dakota,38061.0,485.8,422.8,555.4,46.0,stable,7.4,-5.7,22.2,Mountrail County,6.0,10.0
Iowa,19087.0,485.6,447.2,526.7,125.0,stable,0.3,-0.4,0.9,Henry County,7.0,8.0
Iowa,19125.0,485.6,455.3,517.5,201.0,stable,0.4,0.0,0.7,Marion County,7.0,8.0
Washington,53067.0,485.6,474.4,496.9,1526.0,stable,-0.2,-0.4,0.0,Thurston County,7.0,8.0
Georgia,13017.0,485.5,442.8,531.4,100.0,falling,-1.7,-3.1,-0.2,Ben Hill County,7.0,8.0
Connecticut,9007.0,485.5,472.2,499.1,1089.0,stable,-0.2,-0.4,0.0,Middlesex County,7.0,8.0
Idaho,16075.0,485.5,448.7,524.6,135.0,stable,0.2,-1.1,1.5,Payette County,7.0,8.0
Pennsylvania,42129.0,485.4,476.7,494.4,2575.0,stable,0.3,-3.9,4.7,Westmoreland County,6.0,10.0
Louisiana,22045.0,485.4,463.6,507.9,391.0,falling,-1.4,-2.3,-0.4,Iberia Parish,7.0,8.0
Iowa,19127.0,485.3,457.9,514.0,252.0,stable,-0.2,-0.5,0.1,Marshall County,7.0,8.0
Pennsylvania,42059.0,485.3,457.1,515.0,236.0,stable,-3.2,-13.1,7.7,Greene County,6.0,10.0
Florida,12009.0,485.3,478.4,492.3,4203.0,stable,-1.1,-3.4,1.1,Brevard County,6.0,10.0
Indiana,18143.0,485.2,449.1,523.7,140.0,stable,1.7,-6.0,10.1,Scott County,6.0,10.0
Illinois,17125.0,485.2,441.7,532.3,100.0,stable,1.8,-10.9,16.3,Mason County,6.0,10.0
Ohio,39059.0,485.1,457.9,513.7,253.0,stable,1.6,-1.9,5.3,Guernsey County,6.0,10.0
Maryland,24047.0,485.1,462.5,508.7,413.0,stable,1.0,-5.8,8.2,Worcester County,6.0,10.0
Missouri,29021.0,484.9,465.6,504.7,499.0,stable,-1.4,-10.6,8.8,Buchanan County,6.0,10.0
Tennessee,47085.0,484.8,446.6,525.8,127.0,stable,-3.1,-12.5,7.2,Humphreys County,6.0,10.0
Arkansas,5119.0,484.6,475.1,494.2,2097.0,stable,-0.9,-5.1,3.5,Pulaski County,6.0,10.0
Nebraska,31001.0,484.6,452.6,518.2,185.0,stable,-0.1,-13.3,15.2,Adams County,6.0,10.0
Mississippi,28131.0,484.6,441.4,530.9,99.0,stable,-3.8,-9.8,2.7,Stone County,6.0,10.0
Wisconsin,55077.0,484.4,443.2,528.9,118.0,stable,2.7,-8.2,14.9,Marquette County,6.0,10.0
Arkansas,5045.0,484.4,465.9,503.3,542.0,stable,-1.1,-6.0,4.0,Faulkner County,6.0,10.0
Georgia,13241.0,484.3,444.7,527.0,127.0,stable,0.6,-0.4,1.6,Rabun County,7.0,8.0
Missouri,29045.0,484.3,421.1,555.0,46.0,stable,-1.7,-11.3,9.0,Clark County,6.0,10.0
Georgia,13103.0,484.3,457.3,512.4,262.0,stable,0.2,-0.8,1.2,Effingham County,7.0,8.0
Connecticut,9005.0,484.2,471.8,496.9,1270.0,falling,-0.8,-1.2,-0.3,Litchfield County,7.0,8.0
Kentucky,21007.0,484.2,426.8,547.9,55.0,stable,-0.7,-2.2,0.9,Ballard County,7.0,8.0
Montana,30105.0,484.1,425.7,549.2,55.0,stable,0.4,-16.4,20.6,Valley County,6.0,10.0
Mississippi,28057.0,484.0,448.0,522.3,139.0,stable,1.8,-11.5,16.9,Itawamba County,6.0,10.0
Pennsylvania,42015.0,484.0,462.5,506.3,418.0,stable,-0.8,-5.2,3.9,Bradford County,6.0,10.0
Kentucky,21001.0,484.0,443.8,527.0,114.0,stable,-0.4,-1.3,0.5,Adair County,7.0,8.0
Louisiana,22091.0,483.9,430.6,542.3,66.0,stable,0.7,-0.9,2.3,St. Helena Parish,7.0,8.0
Ohio,39083.0,483.9,461.2,507.4,364.0,stable,-0.2,-4.8,4.7,Knox County,6.0,10.0
North Carolina,37121.0,483.8,442.9,528.0,116.0,stable,-4.5,-14.5,6.6,Mitchell County,6.0,10.0
Iowa,19165.0,483.8,436.6,535.2,87.0,rising,0.9,0.3,1.5,Shelby County,7.0,8.0
Kentucky,21083.0,483.6,455.4,513.2,231.0,stable,-2.0,-4.0,0.0,Graves County,7.0,8.0
Arkansas,5067.0,483.6,443.1,527.0,110.0,stable,-0.4,-7.6,7.4,Jackson County,6.0,10.0
Texas,48213.0,483.5,464.8,502.9,553.0,stable,0.1,-2.6,2.9,Henderson County,6.0,10.0
Louisiana,22123.0,483.5,433.6,538.0,72.0,stable,-0.5,-2.6,1.6,West Carroll Parish,7.0,8.0
Florida,12005.0,483.5,470.3,497.0,1061.0,stable,-0.9,-6.7,5.3,Bay County,6.0,10.0
Georgia,13151.0,483.5,469.5,497.8,991.0,falling,-0.7,-1.2,-0.2,Henry County,7.0,8.0
North Carolina,37117.0,483.4,450.2,518.8,172.0,stable,-1.6,-8.5,5.9,Martin County,6.0,10.0
North Carolina,37035.0,483.4,469.3,497.8,938.0,stable,0.0,-3.0,3.1,Catawba County,6.0,10.0
Georgia,13321.0,483.3,446.0,523.2,132.0,stable,0.5,-0.8,1.7,Worth County,7.0,8.0
Maryland,24005.0,483.3,477.1,489.6,4877.0,stable,-1.2,-5.1,2.8,Baltimore County,6.0,10.0
Virginia,51111.0,483.3,437.6,533.0,89.0,stable,0.3,-10.9,13.0,Lunenburg County,6.0,10.0
Pennsylvania,42057.0,483.2,440.2,529.7,99.0,stable,-4.8,-15.6,7.4,Fulton County,6.0,10.0
Iowa,19111.0,483.2,454.7,513.1,232.0,stable,0.1,-0.2,0.5,Lee County,7.0,8.0
Pennsylvania,42091.0,483.1,477.0,489.3,4964.0,stable,-0.9,-4.2,2.5,Montgomery County,6.0,10.0
Kentucky,21107.0,483.1,457.8,509.5,288.0,stable,-0.7,-1.5,0.1,Hopkins County,7.0,8.0
Tennessee,47009.0,483.0,467.8,498.7,812.0,stable,-0.4,-4.8,4.3,Blount County,6.0,10.0
Illinois,17187.0,483.0,441.1,527.9,107.0,stable,3.0,-12.5,21.1,Warren County,6.0,10.0
Washington,53061.0,483.0,476.0,490.1,3858.0,falling,-0.7,-0.9,-0.4,Snohomish County,7.0,8.0
Michigan,26125.0,483.0,477.9,488.1,7224.0,falling,-0.9,-1.2,-0.6,Oakland County,7.0,8.0
Pennsylvania,42051.0,482.8,468.3,497.6,917.0,stable,0.1,-6.0,6.6,Fayette County,6.0,10.0
Kentucky,21233.0,482.8,435.7,533.9,81.0,stable,-0.2,-1.6,1.3,Webster County,7.0,8.0
Maine,23009.0,482.8,460.8,505.6,409.0,stable,0.8,-3.4,5.1,Hancock County,6.0,10.0
Georgia,13297.0,482.8,463.2,503.0,477.0,stable,-1.2,-6.7,4.7,Walton County,7.0,8.0
Texas,48239.0,482.7,436.8,532.3,87.0,stable,0.3,-12.9,15.4,Jackson County,6.0,10.0
Louisiana,22019.0,482.7,469.5,496.2,1060.0,falling,-0.7,-1.1,-0.3,Calcasieu Parish,7.0,8.0
Maryland,24011.0,482.6,451.7,515.2,190.0,falling,-4.9,-8.7,-0.9,Caroline County,6.0,10.0
Iowa,19065.0,482.6,445.9,521.8,142.0,stable,-0.1,-0.5,0.2,Fayette County,7.0,8.0
West Virginia,54079.0,482.6,459.4,506.6,344.0,stable,-2.4,-9.5,5.2,Putnam County,6.0,10.0
Ohio,39065.0,482.5,449.9,516.9,171.0,rising,9.6,0.8,19.1,Hardin County,6.0,10.0
Pennsylvania,42029.0,482.3,474.3,490.5,2897.0,stable,-0.2,-2.5,2.1,Chester County,6.0,10.0
Kentucky,21227.0,482.3,464.6,500.4,585.0,falling,-0.7,-1.3,-0.1,Warren County,7.0,8.0
Georgia,13095.0,482.2,462.9,502.1,494.0,stable,-0.6,-1.2,0.0,Dougherty County,7.0,8.0
Missouri,29099.0,482.2,469.6,495.1,1189.0,stable,-1.7,-4.6,1.3,Jefferson County,6.0,10.0
Indiana,18091.0,482.1,465.4,499.3,665.0,falling,-3.5,-4.3,-2.7,LaPorte County,6.0,10.0
Iowa,19163.0,482.1,468.1,496.4,945.0,falling,-1.7,-3.0,-0.4,Scott County,7.0,8.0
Maine,23027.0,482.0,455.3,510.1,270.0,stable,-1.0,-5.9,4.1,Waldo County,6.0,10.0
Oklahoma,40063.0,482.0,437.0,530.7,88.0,stable,-1.6,-15.7,14.9,Hughes County,6.0,10.0
Georgia,13261.0,481.9,449.4,516.3,172.0,stable,0.1,-0.7,1.0,Sumter County,7.0,8.0
Iowa,19045.0,481.8,457.3,507.4,310.0,stable,-0.2,-0.5,0.1,Clinton County,7.0,8.0
Iowa,19193.0,481.8,463.4,500.7,542.0,stable,-0.2,-0.5,0.1,Woodbury County,7.0,8.0
Texas,48241.0,481.8,452.8,512.2,223.0,stable,1.6,-11.3,16.3,Jasper County,6.0,10.0
Georgia,13053.0,481.7,390.7,585.7,21.0,stable,1.0,-2.3,4.5,Chattahoochee County,7.0,8.0
Indiana,18045.0,481.6,440.7,525.5,109.0,stable,4.5,-2.0,11.4,Fountain County,6.0,10.0
