name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,commisioning_year,State,Counties
Hillcrest Pump Station,USA0054142,2.0,39.6419,-104.9138,Hydro,1993.0,Denver City & County of,0.0,3.4219999999999997,0.61,7.518,5.28,1993,Colorado,Arapahoe County
Padelford Solar,USA0058032,2.2,41.8533,-71.065,Solar,2013.0,Consolidated Edison Solutions Inc,3.38085,0.0,3.5589999999999997,3.7710000000000004,3.386,2013,Massachusetts,Bristol County
Smithland Hydroelectric Plant,USA0057400,75.9,37.1696,-88.4195,Hydro,2017.0,American Mun Power-Ohio  Inc,0.0,0.0,0.0,0.0,199.391,2017,Kentucky,Livingston County
UMES (MD) - Princess Anne,USA0059749,2.2,38.2026,-75.6764,Solar,2011.0,NVT LICENSES  LLC,0.0,0.0,3.04,3.1189999999999998,3.234,2011,Maryland,Somerset County
Alta Luna,USA0060258,28.1,32.571999999999996,-107.4865,Solar,2017.0,TPE Alta Luna  LLC,0.0,0.0,0.0,0.0,72.422,2017,New Mexico,Dona Ana County
Stanislaus,USA0000285,81.9,38.139,-120.3703,Hydro,1963.0,Pacific Gas & Electric Co.,218.729,146.457,155.694,402.166,426.899,1963,California,Calaveras County
Wheat Field Wind Power Project,USA0056854,97.0,45.6758,-120.3183,Wind,2009.0,Wheat Field Wind Power Project LLC,213.905,222.06599999999997,180.736,199.03,179.354,2009,Oregon,Sherman County
Orange Cogeneration Facility,USA0054365,136.6,27.8708,-81.8251,Gas,1995.0,Northern Star Generation Services Co LLC,298.5369,319.2076,376.99244,439.57975,444.69747,1995,Florida,Polk County
Granite Reliable Power,USA0058004,99.0,44.7044,-71.2925,Wind,2012.0,Granite Reliable Power,222.03099999999998,236.52599999999998,240.61700000000002,215.46599999999998,207.769,2012,New Hampshire,Coos County
Mangum,USA0002991,6.7,34.8836,-99.5022,Gas,1960.5223879999999,City of Mangum - (OK),0.049,0.01,0.026000000000000002,0.013999999999999999,0.0,1960,Oklahoma,Greer County
Covanta Bristol Energy,USA0050648,16.3,41.6492,-72.9153,Waste,1988.0,Covanta Bristol Inc,105.667,103.414,108.604,106.84899999999999,104.5,1988,Connecticut,Hartford County
Trimont Area Wind Farm,USA0056296,100.5,43.7938,-94.8499,Wind,2005.0,Avangrid Renewables LLC,331.235,367.631,360.116,324.607,300.262,2005,Minnesota,Cottonwood County
DodgeSun CSG,USA0061379,5.0,44.0404,-92.69,Solar,2018.0,DodgeSun  LLC,0.0,0.0,0.0,0.0,0.099,2018,Minnesota,Olmsted County
March Point Cogeneration,USA0054268,139.8,48.4708,-122.56,Gas,1991.6666670000002,March Point Cogeneration Co,0.0,0.0,0.0,0.0,940.5989999999999,1991,Washington,Skagit County
