sitename,score,regionID,city,state,Latitude,Longitude,Federal_Facility_Indicator,Partial_Deletion,Listing_year,Listing_month,Listing_day,Proposed_year,Proposed_month,Proposed_day,Construction_year,Construction_month,Construction_day
Pike Hill Copper Mine,50.0,1,Corinth,Vermont,44.057333,-72.306917,no,no,2004,3,8,2004,7,22,0,0,0
Hopewell Precision Area Contamination,50.0,2,Hopewell Junction,New York,41.6116,-73.781481,no,no,2004,9,23,2005,4,27,0,0,0
Commerce Street Plume,48.48,1,Williston,Vermont,44.452583,-73.121389,no,no,2004,9,23,2005,4,27,0,0,0
Price Battery,37.86,3,Hamburg,Pennsylvania,40.549507,-75.980228,no,no,2004,9,23,2005,4,27,0,0,0
Safety Light Corporation,70.71,3,Bloomsburg,Pennsylvania,41.015278,-76.376389,no,no,2004,9,23,2005,4,27,0,0,0
Brewer Gold Mine,50.0,4,Jefferson,South Carolina,34.652194,-80.411472,no,no,2004,9,23,2005,4,27,0,0,0
Sigmon's Septic Tank Service,30.03,4,Statesville,North Carolina,35.713611,-80.974583,no,no,2004,9,23,2005,4,27,2009,9,30
Smalley-Piper,50.0,4,Collierville,Tennessee,35.044444,-89.685833,no,no,2004,9,23,2005,4,27,0,0,0
Copley Square Plaza,50.0,5,Copley,Ohio,41.092839,-81.617472,no,no,2004,9,23,2005,4,27,0,0,0
Hegeler Zinc,50.0,5,Danville,Illinois,40.076322,-87.650092,no,no,2004,9,23,2005,4,27,0,0,0
Parkview Well,50.0,7,Grand Island,Nebraska,40.895833,-98.365,no,no,2004,9,23,2006,4,19,2010,8,31
Klau/Buena Vista Mine,50.0,9,Paso Robles,California,35.6259,-120.8967,no,no,2004,9,23,2006,4,19,0,0,0
Pesticide Warehouse I,50.0,2,Arecibo,Puerto Rico,18.435556,-66.6,no,no,2004,9,23,2006,9,27,0,0,0
Chlor-Alkali Facility (Former),30.54,1,Berlin,New Hampshire,44.479194,-71.167194,no,no,2005,4,27,2005,9,14,0,0,0
Jackson Ceramix,30.22,3,Falls Creek,Pennsylvania,41.139167,-78.801944,no,no,2005,4,27,2005,9,14,0,0,0
Blue Ridge Plating Company,38.67,4,Arden,North Carolina,35.462372,-82.528358,no,no,2005,4,27,2005,9,14,2007,9,27
Peach Orchard Road PCE Ground Water Plume,50.0,4,Augusta,Georgia,33.421178,-82.015139,no,no,2005,4,27,2005,9,14,2013,9,18
Sandy Beach Road Ground Water Plume,50.0,6,Azle,Texas,32.928472,-97.525,no,no,2005,4,27,2005,9,14,0,0,0
Garvey Elevator,50.0,7,Hastings,Nebraska,40.563611,-98.415556,no,no,2005,4,27,2005,9,14,0,0,0
Standard Mine,50.0,8,Gunnison National Forest,Colorado,38.879167,-107.07389,no,no,2005,4,27,2005,9,14,0,0,0
Olin Chemical,50.0,1,Wilmington,Massachusetts,42.528056,-71.153889,no,no,2005,9,14,2006,4,19,0,0,0
Alternate Energy Resources,50.0,4,Augusta,Georgia,33.454194,-82.036944,no,no,2005,9,14,2006,4,19,2015,9,23
Lake Calumet Cluster,30.0,5,Chicago,Illinois,41.679444,-87.568889,no,no,2005,9,14,2010,3,4,0,0,0
West Highway 6 & Highway 281,50.0,7,Hastings,Nebraska,40.5712,-98.4095,no,no,2005,9,14,2006,4,19,0,0,0
Quendall Terminals,50.0,10,Renton,Washington,47.533333,-122.2,no,no,2005,9,14,2006,4,19,0,0,0
Sherwin-Williams/Hilliards Creek,50.0,2,Gibbsboro,New Jersey,39.835526,-74.964977,no,no,2006,4,19,2008,3,19,0,0,0
"Matteo & Sons, Inc.",50.0,2,Thorofare,New Jersey,39.854722,-75.168306,no,no,2006,4,19,2006,9,27,0,0,0
Maunabo Area Ground Water Contamination,50.0,2,Maunabo,Puerto Rico,18.005611,-65.901417,no,no,2006,4,19,2006,9,27,0,0,0
ASARCO Taylor Springs,30.0,5,Taylor Springs,Illinois,39.118677,-89.505458,no,no,2006,4,19,2006,9,27,0,0,0
Ringwood Mines/Landfill,52.58,2,Ringwood Borough,New Jersey,41.136669,-74.2725,no,no,1982,12,30,1983,9,8,1993,9,15
Sonford Products,31.66,4,Flowood,Mississippi,32.29251,-90.14222,no,no,2006,9,27,2007,3,7,0,0,0
Elm Street Ground Water Contamination,50.0,5,Terre Haute,Indiana,39.476586,-87.414319,no,no,2006,9,27,2007,3,7,0,0,0
South Minneapolis Residential Soil Contamination,44.58,5,Minneapolis,Minnesota,44.9528,-93.2427,no,yes,2006,9,27,2007,9,19,2011,9,27
East 67th Street Ground Water Plume,50.0,6,Odessa,Texas,31.908611,-102.385833,no,no,2006,9,27,2007,3,7,0,0,0
Bandera Road Ground Water Plume,50.0,6,Leon Valley,Texas,29.494433,-98.6205,no,no,2006,9,27,2007,3,7,0,0,0
Lockheed West Seattle,50.0,10,Seattle,Washington,47.583889,-122.3625,no,no,2006,9,27,2007,3,7,0,0,0
Eagle Zinc Co Div T L Diamond,50.0,5,Hillsboro,Illinois,39.161167,-89.476417,no,no,2007,3,7,2007,9,19,0,0,0
Eagle Picher Carefree Battery,50.0,6,Socorro,New Mexico,34.099517,-106.901239,no,no,2007,3,7,2007,9,19,0,0,0
Five Points PCE Plume,50.0,8,Woods Cross,Utah,40.874583,-111.887028,no,no,2007,3,7,2007,9,19,0,0,0
Halaco Engineering Company,58.31,9,Oxnard,California,34.138889,-119.181944,no,no,2007,3,7,2007,9,19,0,0,0
Formosa Mine,50.0,10,Riddle,Oregon,42.854472,-123.382611,no,no,2007,3,7,2007,9,19,0,0,0
Hidden Lane Landfill,50.0,3,Sterling,Virginia,39.056131,-77.424175,no,no,2007,9,19,2008,3,19,0,0,0
Lusher Street Ground Water Contamination,50.0,5,Elkhart,Indiana,41.672922,-85.996225,no,no,2007,9,19,2008,3,19,0,0,0
"Plating, Inc.",50.0,7,Great Bend,Kansas,38.346542,-98.84946,no,no,2007,9,19,2008,3,19,0,0,0
East Troy Contaminated Aquifer,50.0,5,Troy,Ohio,40.0381,-84.1961,no,no,2007,9,19,2008,9,3,0,0,0
Washington County Lead District - Old Mines,76.81,7,Old Mines,Missouri,38.075278,-90.738333,no,no,2007,9,19,2008,3,19,0,0,0
Washington County Lead District - Potosi,50.0,7,Potosi,Missouri,37.9399,-90.7724,no,no,2007,9,19,2008,3,19,0,0,0
Washington County Lead District - Richwoods,76.81,7,Richwoods,Missouri,38.16615,-90.814264,no,no,2007,9,19,2008,3,19,0,0,0
Chem-Fab,50.0,3,Doylestown,Pennsylvania,40.315958,-75.136003,no,no,2007,9,19,2008,3,19,0,0,0
San German Ground Water Contamination,50.0,2,San German,Puerto Rico,18.084472,-67.035306,no,no,2007,9,19,2008,3,19,0,0,0
Donna Reservoir and Canal System,50.0,6,Donna,Texas,26.112286,-98.086469,no,no,2007,9,19,2008,3,19,0,0,0
Midessa Ground Water Plume,50.0,6,Odessa,Texas,31.90635,-102.233669,no,no,2007,9,19,2008,3,19,0,0,0
San Jacinto River Waste Pits,50.0,6,Channelview,Texas,29.7944,-95.0625,no,no,2007,9,19,2008,3,19,0,0,0
Aberdeen Contaminated Ground Water,50.0,4,Aberdeen,North Carolina,35.1224,-79.4025,no,no,2008,3,19,2008,9,3,0,0,0
Flash Cleaners,50.0,4,Pompano Beach,Florida,26.2824,-80.0969,no,no,2008,3,19,2008,9,3,2011,9,19
North East 2nd Street (formerly Attebury Grain Storage Facility),32.33,6,Happy,Texas,34.745,-101.853333,no,no,2008,3,19,2009,4,9,0,0,0
Nelson Tunnel/Commodore Waste Rock,48.03,8,Creede,Colorado,37.870833,-106.94,no,no,2008,3,19,2008,9,3,0,0,0
Iron King Mine - Humboldt Smelter,52.69,9,Dewey-Humboldt,Arizona,34.5,-112.25,no,no,2008,3,19,2008,9,3,0,0,0
"Curtis Specialty Papers, Inc.",50.0,2,Milford,New Jersey,40.561758,-75.089842,no,no,2008,9,3,2009,9,23,0,0,0
BoRit Asbestos,50.0,3,Ambler,Pennsylvania,40.153472,-75.228625,no,no,2008,9,3,2009,4,9,2018,6,28
Fort Detrick Area B Ground Water,49.52,3,Fort Detrick,Maryland,39.434442,-77.446769,yes,no,2008,9,3,2009,4,9,0,0,0
Arkla Terra Property,50.0,4,Thonotosassa,Florida,28.057778,-82.3175,no,no,2008,9,3,2009,4,9,0,0,0
Barite Hill/Nevada Goldfields,50.0,4,McCormick,South Carolina,33.87309,-82.30067,no,no,2008,9,3,2009,4,9,0,0,0
Raleigh Street Dump,50.0,4,Tampa,Florida,27.914417,-82.410861,no,no,2008,9,3,2009,4,9,2014,8,12
Behr Dayton Thermal System VOC Plume,50.0,5,Dayton,Ohio,39.784444,-84.179444,no,no,2008,9,3,2009,4,9,0,0,0
New Carlisle Landfill,46.4,5,New Carlisle,Ohio,39.923333,-84.033694,no,no,2008,9,3,2009,4,9,0,0,0
"U.S. Smelter and Lead Refinery, Inc.",58.31,5,East Chicago,Indiana,41.616758,-87.464046,no,no,2008,9,3,2009,4,9,0,0,0
U.S. Magnesium,59.18,8,Tooele County,Utah,40.914993,-112.719949,no,no,2008,9,3,2009,11,4,0,0,0
"Rockets, Fireworks, and Flares (RFF)",50.0,9,Rialto,California,34.153683,-117.416567,no,no,2008,9,3,2009,9,23,0,0,0
Gowanus Canal,50.0,2,Brooklyn,New York,40.681639,-73.987333,no,no,2009,4,9,2010,3,4,0,0,0
"Papelera Puertorriquena, Inc.",34.69,2,Utuado,Puerto Rico,18.265194,-66.694908,no,no,2009,4,9,2009,9,23,0,0,0
Raritan Bay Slag,50.0,2,"Old Bridge Township, Sayreville",New Jersey,40.464589,-74.258017,no,no,2009,4,9,2009,11,4,0,0,0
Peck Iron and Metal,48.52,3,Portsmouth,Virginia,36.809464,-76.308822,no,no,2009,4,9,2009,11,4,0,0,0
General Dynamics Longwood,50.0,4,Longwood,Florida,28.71662,-81.32122,no,no,2009,4,9,2010,9,29,0,0,0
GMH Electronics,50.0,4,Roxboro,North Carolina,36.416722,-78.941625,no,no,2009,4,9,2009,9,23,0,0,0
Ore Knob Mine,50.0,4,Ashe County,North Carolina,36.410011,-81.324606,no,no,2009,4,9,2009,9,23,0,0,0
Amcast Industrial Corporation,46.86,5,Cedarburg,Wisconsin,43.288444,-87.982056,no,no,2009,4,9,2009,9,23,0,0,0
Lane Street Ground Water Contamination,40.53,5,Elkhart,Indiana,41.716847,-85.921006,no,no,2009,4,9,2009,9,23,0,0,0
Little Scioto River,48.03,5,Marion Township,Ohio,40.593061,-83.183461,no,no,2009,4,9,2009,9,23,0,0,0
Southwest Jefferson County Mining,70.71,7,Jefferson County,Missouri,38.186794,-90.758975,no,no,2009,4,9,2009,9,23,0,0,0
Flat Creek IMM,51.33,8,Superior,Montana,47.240278,-114.852778,no,no,2009,4,9,2009,9,23,0,0,0
JJ Seifert Machine,50.0,4,Ruskin,Florida,27.678611,-82.477778,no,no,2009,9,23,2010,3,4,2016,6,14
Kerr-McGee Chemical Corp - Jacksonville,70.71,4,Jacksonville,Florida,30.3442,-81.6265,no,no,2009,9,23,2010,3,4,0,0,0
Kerr-McGee Chemical Corp - Navassa,50.0,4,Navassa,North Carolina,34.247222,-77.999028,no,no,2009,9,23,2010,3,4,0,0,0
Chemetco,30.0,5,Hartford,Illinois,38.799,-90.098,no,no,2009,9,23,2010,3,4,0,0,0
Gratiot County Golf Course,29.54,5,St. Louis,Michigan,43.415842,-84.623247,no,no,2009,9,23,2010,3,4,0,0,0
Van der Horst USA Corporation,48.0,6,Terrell,Texas,32.734167,-96.273889,no,no,2009,9,23,2010,3,4,0,0,0
Black Butte Mine,50.0,10,Cottage Grove,Oregon,43.579516,-123.066808,no,no,2009,9,23,2010,3,4,0,0,0
Salt Chuck Mine,50.0,10,Thorne Bay,Alaska,55.626442,-132.558853,no,no,2009,9,23,2010,3,4,0,0,0
Newtown Creek,50.0,2,"Brooklyn, Queens",New York,40.715192,-73.930762,no,no,2009,9,23,2010,9,29,0,0,0
Black River PCBs,48.03,2,Town of Champion,New York,43.984269,-75.627753,no,no,2010,3,4,2010,9,29,0,0,0
Dewey Loeffel Landfill,50.0,2,Nassau,New York,42.560957,-73.560496,no,no,2010,3,4,2011,3,10,0,0,0
Sanford Dry Cleaners,50.0,4,Sanford,Florida,28.811217,-81.265606,no,no,2010,3,4,2010,9,29,2015,5,20
Smokey Mountain Smelters,50.0,4,Knoxville,Tennessee,35.919444,-83.925833,no,no,2010,3,4,2010,9,29,0,0,0
Wright Chemical Corporation,48.03,4,Riegelwood,North Carolina,34.3284,-78.2051,no,no,2010,3,4,2011,3,10,0,0,0
Ten-Mile Drain,48.88,5,St. Clair Shores,Michigan,42.486944,-82.899167,no,no,2010,3,4,2010,9,29,0,0,0
Vienna Wells,50.0,7,Vienna,Missouri,38.189597,-91.944158,no,no,2010,3,4,2010,9,29,0,0,0
ACM Smelter and Refinery,54.26,8,Black Eagle,Montana,47.528603,-111.246467,no,no,2010,3,4,2011,3,10,0,0,0
Mansfield Trail Dump,50.0,2,Byram,New Jersey,40.9289443,-74.6995999,no,no,2010,10,21,2011,3,10,0,0,0
Cabo Rojo Ground Water Contamination,50.0,2,Cabo Rojo,Puerto Rico,18.090725,-67.148325,no,no,2010,10,21,2011,3,10,0,0,0
Hormigas Ground Water Plume,50.0,2,Caguas,Puerto Rico,18.2206,-66.101,no,no,2010,10,21,2011,3,10,2017,7,5
Dwyer Property Ground Water Plume,50.0,3,Elkton,Maryland,39.612007,-75.844474,no,no,2010,10,21,2011,3,10,0,0,0
