sitename,score,regionID,city,state,Latitude,Longitude,Federal_Facility_Indicator,Partial_Deletion,Listing_year,Listing_month,Listing_day,Proposed_year,Proposed_month,Proposed_day,Construction_year,Construction_month,Construction_day
Collins & Aikman Plant (Former),50.0,1,Farmington,New Hampshire,43.372,-71.05875,no,no,2013,5,24,2013,12,12,0,0,0
Wilcox Oil Company,50.0,6,Creek County,Oklahoma,35.840805,-96.380193,no,no,2013,5,24,2013,12,12,0,0,0
Makah Reservation Warmhouse Beach Dump,50.0,10,Neah Bay,Washington,48.388353,-124.656711,no,no,2013,5,24,2013,12,12,0,0,0
MacMillan Ring Free Oil,50.0,6,Norphlet,Arkansas,33.30836,-92.65688,no,no,2013,12,12,2014,5,12,0,0,0
Keddy Mill,50.0,1,Windham,Maine,43.734953,-70.424514,no,no,2013,12,12,2014,5,12,0,0,0
PCE Southeast Contamination,43.33,7,York,Nebraska,40.859594,-97.580614,no,no,2013,12,12,2014,5,12,0,0,0
PCE/TCE Northeast Contamination,50.0,7,York,Nebraska,40.888636,-97.600361,no,no,2013,12,12,2014,5,12,0,0,0
Pierson's Creek,47.99,2,Newark,New Jersey,40.7163,-74.1452,no,no,2013,12,12,2014,9,22,0,0,0
Unimatic Manufacturing Corporation,50.0,2,Fairfield,New Jersey,40.878792,-74.269155,no,no,2013,12,12,2014,5,12,0,0,0
Wolff-Alport Chemical Company,50.0,2,Ridgewood,New York,40.692672,-73.901997,no,no,2013,12,12,2014,5,12,0,0,0
"Walker Machine Products, Inc.",50.0,4,Collierville,Tennessee,35.041589,-89.653469,no,no,2013,12,12,2014,5,12,0,0,0
Colorado Smelter,50.0,8,Pueblo,Colorado,38.2491,-104.608,no,no,2014,5,12,2014,12,11,0,0,0
North Shore Drive,50.0,5,Elkhart,Indiana,41.684722,-86.055,no,no,2014,5,12,2014,9,22,0,0,0
Delta Shipyard,48.05,6,Houma,Louisiana,29.565818,-90.705141,no,no,2014,5,12,2014,9,22,0,0,0
Baghurst Drive,50.0,3,Harleysville,Pennsylvania,40.299483,-75.455133,no,no,2014,5,12,2014,9,22,0,0,0
"Jard Company, Inc.",58.31,1,Bennington,Vermont,42.888861,-73.189111,no,no,2014,5,12,2014,9,22,0,0,0
Kokomo Contaminated Ground Water Plume,50.0,5,Kokomo,Indiana,40.479444,-86.114128,no,no,2014,9,22,2015,3,26,0,0,0
DSC McLouth Steel Gibraltar Plant,50.0,5,Gibraltar,Michigan,42.103075,-83.200292,no,no,2014,9,22,2015,3,26,0,0,0
BJAT LLC,41.91,1,Franklin,Massachusetts,42.074417,-71.410806,no,no,2015,3,26,2015,9,30,0,0,0
Estech General Chemical Company,30.0,5,Calumet City,Illinois,41.628303,-87.526905,no,no,2015,3,26,2015,9,30,0,0,0
Colonial Creosote,50.0,6,Bogalusa,Louisiana,30.768056,-89.863889,no,no,2015,3,26,2015,9,30,0,0,0
Main Street Ground Water Plume,50.0,6,Burnet,Texas,30.737148,-98.22544,no,no,2015,3,26,2015,9,30,0,0,0
Anaconda Aluminum Co Columbia Falls Reduction Plant,68.39,8,Columbia Falls,Montana,48.387875,-114.130297,no,no,2015,3,26,2016,9,9,0,0,0
Grain Handling Facility at Freeman,50.0,10,Freeman,Washington,47.519528,-117.194297,no,no,2015,3,26,2015,9,30,0,0,0
Former Kil-Tone Company,65.29,2,Vineland,New Jersey,39.47841,-75.025489,no,no,2015,9,30,2016,4,7,0,0,0
Old American Zinc Plant,30.0,5,Fairmont City,Illinois,38.648,-90.099,no,no,2015,9,30,2016,4,7,0,0,0
SBA Shipyard,50.0,6,Jennings,Louisiana,30.160603,-92.612236,no,no,2015,9,30,2016,9,9,0,0,0
Lea and West Second Street,50.0,6,Roswell,New Mexico,33.394079,-104.529951,no,no,2015,9,30,2016,4,7,0,0,0
PCE Former Dry Cleaner,50.0,7,Atlantic,Iowa,41.403717,-94.995764,no,no,2015,9,30,2016,4,7,0,0,0
Iowa-Nebraska Light & Power Co,40.8,7,Norfolk,Nebraska,42.0323,-97.417028,no,no,2015,9,30,2016,4,7,0,0,0
Argonaut Mine,58.31,9,Jackson,California,38.353333,-120.78575,no,no,2016,4,7,2016,9,9,0,0,0
Bonita Peak Mining District,50.0,8,San Juan County,Colorado,37.904031,-107.616619,no,no,2016,4,7,2016,9,9,0,0,0
Valley Pike VOCs,50.0,5,Riverside,Ohio,39.797222,-84.1325,no,no,2016,4,7,2016,9,9,0,0,0
Wappinger Creek,50.0,2,Dutchess County,New York,41.597684,-73.927136,no,no,2016,4,7,2016,9,9,0,0,0
Dorado Ground Water Contamination,50.0,2,Dorado,Puerto Rico,18.42975602,-66.27832042,no,no,2016,4,7,2016,9,9,0,0,0
"Eldorado Chemical Co., Inc.",38.85,6,Live Oak,Texas,29.568833,-98.350042,no,no,2016,4,7,2016,9,9,0,0,0
North 25th Street Glass and Zinc,48.03,3,Clarksburg,West Virginia,39.297053,-80.357433,no,no,2016,4,7,2016,9,9,0,0,0
"Microfab, Inc. (Former)",50.0,1,Amesbury,Massachusetts,42.842394,-70.959842,no,no,2016,9,9,2017,8,3,0,0,0
Post and Lumber Preserving Co. Inc.,36.33,4,Quincy,Florida,30.592472,-84.510081,no,no,2016,9,9,2017,8,3,0,0,0
Former Custom Cleaners,50.0,4,Memphis,Tennessee,35.115114,-89.945,no,no,2016,9,9,2017,8,3,0,0,0
The Battery Recycling Company,56.66,2,Bo. Cambalache,Puerto Rico,18.453603,-66.694097,no,no,2016,9,9,2017,8,3,0,0,0
Saint-Gobain Performance Plastics,50.0,2,Village of Hoosick Falls,New York,42.8943,-73.3566,no,no,2016,9,9,2017,8,3,0,0,0
Highway 18 Ground Water,50.0,6,Kermit,Texas,31.852,-103.090681,no,no,2016,9,9,2017,8,3,0,0,0
Old HWY 275 and N 288th Street,50.0,7,Valley,Nebraska,41.329092,-96.367333,no,no,2016,9,9,2017,8,3,0,0,0
Newark South Ground Water Plume,50.0,3,Newark,Delaware,39.653889,-75.735,no,no,2017,8,3,2018,1,18,0,0,0
American Creosote DeRidder,50.0,6,DeRidder,Louisiana,30.831693,-93.276863,no,no,2017,8,3,2018,1,18,0,0,0
Mississippi Phosphates Corporation,50.0,4,Pascagoula,Mississippi,30.372103,-88.491006,no,no,2017,8,3,2018,1,18,0,0,0
Eagle Industries,50.0,6,Midwest City,Oklahoma,35.435631,-97.337507,no,no,2017,8,3,2018,1,18,0,0,0
Hockessin Groundwater,50.0,3,Hockessin,Delaware,39.78752,-75.696513,no,no,2018,1,18,2018,5,17,0,0,0
Burlington Industries Cheraw,48.0,4,Cheraw,South Carolina,34.698689,-79.912786,no,no,2018,1,18,2018,5,17,0,0,0
Rockwell International Wheel & Trim,50.0,4,Grenada,Mississippi,33.803244,-89.801661,no,no,2018,1,18,2018,9,13,0,0,0
Southside Chattanooga Lead,50.0,4,Chattanooga,Tennessee,35.032552,-85.300559,no,no,2018,1,18,2018,9,13,0,0,0
Broadway Street Corridor Groundwater Contamination,50.0,5,Anderson,Indiana,40.1184,-85.6789,no,no,2018,1,18,2018,9,13,0,0,0
Franklin Street Groundwater Contamination,50.0,5,Spencer,Indiana,39.2849,-86.7645,no,no,2018,1,18,2018,5,17,0,0,0
Spring Park Municipal Well Field,50.0,5,Spring Park,Minnesota,44.935944,-93.633306,no,no,2018,1,18,2018,5,17,0,0,0
"Lane Plating Works, Inc.",50.0,6,Dallas,Texas,32.687886,-96.769485,no,no,2018,1,18,2018,5,17,0,0,0
River City Metal Finishing,50.0,6,San Antonio,Texas,29.430489,-98.731875,no,no,2018,1,18,2018,5,17,0,0,0
Donnelsville Contaminated Aquifer,35.06,5,Donnelsville,Ohio,39.920558,-83.948728,no,no,2018,5,17,2018,9,13,0,0,0
PROTECO,36.33,2,Peñuelas,Puerto Rico,18.0152,-66.7003,no,no,2018,5,17,2019,5,15,0,0,0
Delfasco Forge,50.0,6,Grand Prairie,Texas,32.750269,-96.963228,no,no,2018,5,17,2018,9,13,0,0,0
Magna Metals,50.0,2,Cortlandt Manor,New York,41.2745,-73.8704,no,no,2018,9,13,2019,5,15,0,0,0
Shaffer Equipment/Arbuckle Creek Area,50.54,3,Minden,West Virginia,37.97651,-81.1265,no,no,2018,9,13,2019,5,15,0,0,0
Cliff Drive Groundwater Contamination,50.0,5,Logansport,Indiana,40.7432,-86.3803,no,no,2018,9,13,2019,5,15,0,0,0
McLouth Steel Corp,50.0,5,Trenton,Michigan,42.160597,-83.170906,no,no,2018,9,13,2019,5,15,0,0,0
Sporlan Valve Plant #1,35.15,7,Washington,Missouri,38.5519,-91.00668,no,no,2018,9,13,2019,5,15,0,0,0
Copper Bluff Mine,50.0,9,Hoopa,California,41.109972,-123.686,no,no,2018,9,13,2019,5,15,0,0,0
Schroud Property,50.0,5,Chicago,Illinois,41.662606,-87.543503,no,no,2019,6,3,2019,11,8,0,0,0
